city,temperature,humidity,wind_speed,condition,last_updated
chuka,24.1°C,69%,11.5 km/h,Partly cloudy,2024-11-23 12:34:13
juja,24.0°C,61%,11.9 km/h,Partly cloudy,2024-11-23 12:34:15
ruiru,24.0°C,61%,12.2 km/h,Partly cloudy,2024-11-23 12:34:17
kangemi,25.3°C,57%,7.9 km/h,Partly cloudy,2024-11-23 12:34:19
karen,27.0°C,74%,5.8 km/h,Sunny,2024-11-23 12:34:21
oljepeta,25.3°C,57%,7.9 km/h,Partly cloudy,2024-11-23 12:34:22
narok,24.2°C,49%,13.7 km/h,Patchy rain nearby,2024-11-23 12:34:23
kitengela,25.3°C,57%,7.9 km/h,Partly cloudy,2024-11-23 12:34:25
mwingi,26.7°C,62%,7.2 km/h,Patchy rain nearby,2024-11-23 12:34:27
isiolo,24.2°C,65%,7.9 km/h,Partly cloudy,2024-11-23 12:34:28
garsen,31.0°C,61%,11.5 km/h,Patchy rain nearby,2024-11-23 12:34:30
thindigwa,25.3°C,57%,7.9 km/h,Partly cloudy,2024-11-23 12:34:31
kiambu,23.4°C,61%,13.3 km/h,Partly cloudy,2024-11-23 12:34:33
kirinyaga,25.3°C,57%,7.9 km/h,Partly cloudy,2024-11-23 12:34:34
molo,20.5°C,45%,10.1 km/h,Sunny,2024-11-23 12:34:36
mulot,22.5°C,24%,4.7 km/h,Cloudy,2024-11-23 12:34:38
kitale,25.2°C,47%,5.0 km/h,Partly cloudy,2024-11-23 12:34:42
kimilili,25.2°C,47%,6.1 km/h,Partly cloudy,2024-11-23 12:34:44
chwele,25.3°C,57%,7.9 km/h,Partly cloudy,2024-11-23 12:34:45
